DATE,DT90,DT90_Miss,DT90_Consec,DX32,DX32_Miss,DX32_Consec,DT32,DT32_Miss,DT32_Consec,DP01,DP01_Miss,DP01_Consec,DP05,DP05_Miss,DP05_Consec,DP10,DP10_Miss,DP10_Consec,EMXP,EMXP_Miss,EMXP_Consec,TPCP,TPCP_Miss,TPCP_Consec,EMXT,EMXT_Miss,EMXT_Consec,EMNT,EMNT_Miss,EMNT_Consec,MMXT,MMXT_Miss,MMXT_Consec,MMNT,MMNT_Miss,MMNT_Consec,MNTM,MNTM_Miss,MNTM_Consec
20100101,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,0,0,0,0,0,0,0.4,0,0,1.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100201,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,4,0,0,0,0,0,0.9,0,0,3.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100301,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,5,0,0,4,0,0,3.5,0,0,9.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100401,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,1,0,0,1.8,0,0,3.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100501,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,2,0,0,1,0,0,1.6,0,0,2.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100601,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,3,0,0,1,0,0,1.6,0,0,5.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100701,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,1,0,0,0,0,0,0.5,0,0,1.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100801,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,4,0,0,0,0,0,0.9,0,0,4.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20100901,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,5,0,0,2,0,0,2.5,0,0,7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20101001,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20101101,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
